iter	RMSE
0	1.122074275
1	1.076476965
2	1.035208634
3	0.9951419226
4	0.9568957932
5	0.9209635651
6	0.8883623901
7	0.8566475679
8	0.8272796338
9	0.7990308267
10	0.7728654079
11	0.7485503119
12	0.7251375917
13	0.7046410485
14	0.6848801501
15	0.6666788346
16	0.6500517441
17	0.6344374231
18	0.6191786686
19	0.6048136587
20	0.5912049363
21	0.5794741154
22	0.5680723286
23	0.5579751323
24	0.5481012534
25	0.5386964258
26	0.5306698301
27	0.5230015722
28	0.516063953
29	0.509879097
30	0.5035492343
31	0.4980739111
32	0.4925479979
33	0.4865733432
34	0.4817822288
35	0.4770645805
36	0.4728603347
37	0.4685552888
38	0.4651669536
39	0.4614662457
40	0.4590380675
41	0.4560199543
42	0.4532061643
43	0.4498871954
44	0.447644637
45	0.4455940058
46	0.4434855102
47	0.4417167253
48	0.4397431657
49	0.4378831969
50	0.4354646493
51	0.4333977699
52	0.4314449537
53	0.4295667012
54	0.4283353261
55	0.4266913904
56	0.4248461464
57	0.4234743632
58	0.421960397
59	0.4206514504
60	0.419593515
61	0.4182718922
62	0.4170938161
63	0.4164326573
64	0.4158290237
65	0.4146562223
66	0.4135358493
67	0.4128330665
68	0.4121498465
69	0.4118797131
70	0.4109349915
71	0.4101603527
72	0.4098094049
73	0.4089175351
74	0.4083088656
75	0.4069839921
76	0.4064864389
77	0.4055205167
78	0.4052951672
79	0.4045419329
80	0.4044192196
81	0.4042753828
82	0.4041396751
83	0.4034835481
84	0.4029224891
85	0.402793789
86	0.4026813858
87	0.4025583647
88	0.4024386063
89	0.4017342494
90	0.4016375979
91	0.4009617623
92	0.4008946922
93	0.400600982
94	0.4004992583
95	0.4003865514
96	0.3994138797
97	0.39914019
98	0.3990515104
99	0.3985668902
100	0.3984731844
101	0.3982153869
102	0.3977728657
103	0.3969228521
104	0.3968431058
105	0.3960957157
106	0.3960183625
107	0.3959350313
108	0.3958213179
109	0.3957183085
110	0.3956511365
111	0.3955316666
112	0.3954665467
113	0.3953109682
114	0.3951081167
115	0.3950239676
116	0.3949152458
117	0.3948466346
118	0.3940300726
119	0.3939733421
120	0.3938942143
121	0.393030608
122	0.3929670387
123	0.3922376362
124	0.3921573246
125	0.3920895398
126	0.391072489
127	0.3909836573
128	0.3909222029
129	0.3908638035
130	0.3907919986
131	0.3900766797
132	0.3892513804
133	0.3891659458
134	0.3883249583
135	0.3882433013
136	0.3878702759
137	0.3876255819
138	0.3875546087
139	0.3874821992
140	0.3869545526
141	0.386862593
142	0.3867980081
143	0.3867076162
144	0.3865977688
145	0.3865162197
146	0.3864195853
147	0.3863471401
148	0.3862731728
149	0.3861741921
150	0.3860932196
151	0.385993271
152	0.3859042224
153	0.3857706312
154	0.3856832982
155	0.3855969433
156	0.3851679251
157	0.3850874792
158	0.3845751155
159	0.3844813333
160	0.3839025402
161	0.3837907025
162	0.383695919
163	0.3835998137
164	0.38296493
165	0.3828790387
166	0.3827828006
167	0.3826966752
168	0.3826012032
169	0.38250766
170	0.382423668
171	0.3823349883
172	0.3822413364
173	0.3817043613
174	0.3810030345
175	0.3808929342
176	0.3807946159
177	0.3807080227
178	0.3806145558
179	0.3805288339
180	0.3804397169
181	0.380355587
182	0.3802728758
183	0.3801009437
184	0.3800047091
185	0.3791996211
186	0.3784208238
187	0.378339573
188	0.3782530836
189	0.3781733893
190	0.3777123022
191	0.3776248395
192	0.3769793038
193	0.3768977637
194	0.3768129224
195	0.3758402035
196	0.375745697
197	0.375650241
198	0.3754444656
199	0.3753655172
200	0.3747017683
201	0.3740631796
202	0.3739820555
203	0.3732647036
204	0.373174227
205	0.3730936494
206	0.3730154221
207	0.3729350061
208	0.3728421413
209	0.3724198694
210	0.3718878285
211	0.3718082029
212	0.3717298298
213	0.3716518016
214	0.3714051674
215	0.3713318893
216	0.3712559361
217	0.3707322493
218	0.3706428926
219	0.370567033
220	0.3700623774
221	0.3699757247
222	0.3699009962
223	0.3698228271
224	0.3697487372
225	0.3696744268
226	0.3696013748
227	0.3691023176
228	0.3689467901
229	0.3688561094
230	0.3687836194
231	0.3686990146
232	0.3686249968
233	0.3685567578
234	0.3684853561
235	0.367794667
236	0.3671803888
237	0.3666687696
238	0.3665301429
239	0.3664587668
240	0.3663861553
241	0.3663099772
242	0.3662399676
243	0.366165094
244	0.3660956768
245	0.3656756519
246	0.3656064929
247	0.365303097
248	0.365234108
249	0.3651656732
250	0.3650976664
251	0.3650300348
252	0.3649627054
253	0.3648858821
254	0.3648190994
255	0.3643206185
256	0.3642540829
257	0.3635497478
258	0.3632287461
259	0.3630733211
260	0.3630025359
261	0.3629362961
