iter	Passed	Remaining
0	49	49766
1	94	47015
2	139	46238
3	183	45694
4	229	45571
5	274	45552
6	318	45147
7	362	44951
8	408	44979
9	452	44810
10	496	44624
11	546	45033
12	592	44948
13	634	44674
14	677	44478
15	724	44566
16	766	44350
17	811	44289
18	854	44119
19	898	44009
20	944	44034
21	989	43992
22	1036	44030
23	1081	43995
24	1126	43944
25	1170	43842
26	1215	43798
27	1261	43801
28	1304	43692
29	1349	43623
30	1394	43604
31	1440	43582
32	1487	43579
33	1529	43460
34	1572	43365
35	1627	43569
36	1669	43455
37	1716	43448
38	1760	43386
39	1804	43299
40	1846	43192
41	1891	43147
42	1935	43068
43	1978	42988
44	2022	42912
45	2071	42959
46	2116	42924
47	2161	42879
48	2206	42829
49	2251	42778
50	2297	42755
51	2345	42763
52	2390	42717
53	2434	42651
54	2478	42585
55	2522	42527
56	2567	42482
57	2616	42491
58	2659	42411
59	2703	42361
60	2746	42282
61	2793	42257
62	2840	42240
63	2884	42183
64	2927	42115
65	2972	42067
66	3017	42018
67	3060	41953
68	3105	41898
69	3153	41901
70	3200	41875
71	3247	41855
72	3293	41826
73	3337	41766
74	3382	41720
75	3426	41658
76	3470	41602
77	3513	41526
78	3559	41492
79	3601	41420
80	3645	41364
81	3689	41302
82	3731	41225
83	3774	41159
84	3817	41099
85	3863	41062
86	3906	40998
87	3950	40941
88	3994	40886
89	4037	40821
90	4079	40746
91	4123	40694
92	4165	40620
93	4199	40473
94	4247	40463
95	4290	40399
96	4335	40356
97	4377	40293
98	4421	40242
99	4464	40178
100	4509	40140
101	4552	40077
102	4597	40034
103	4643	40005
104	4690	39982
105	4740	39977
106	4785	39934
107	4832	39915
108	4879	39885
109	4921	39823
110	4971	39819
111	5028	39866
112	5071	39807
113	5115	39755
114	5158	39697
115	5206	39675
116	5250	39622
117	5297	39594
118	5344	39565
119	5394	39561
120	5440	39523
121	5488	39496
122	5532	39448
123	5578	39407
124	5627	39391
125	5671	39340
126	5716	39298
127	5759	39235
128	5805	39201
129	5851	39156
130	5892	39086
131	5938	39050
132	5983	39002
133	6027	38956
134	6073	38918
135	6118	38868
136	6161	38812
137	6204	38755
138	6248	38702
139	6293	38660
140	6337	38610
141	6383	38572
142	6428	38527
143	6471	38471
144	6517	38428
145	6561	38382
146	6607	38341
147	6653	38303
148	6697	38252
149	6740	38196
150	6783	38141
151	6827	38091
152	6872	38048
153	6918	38004
154	6962	37956
155	7014	37952
156	7064	37931
157	7112	37901
158	7161	37879
159	7217	37891
160	7284	37961
161	7334	37939
162	7387	37932
163	7434	37900
164	7484	37877
165	7536	37864
166	7585	37836
167	7633	37803
168	7681	37768
169	7731	37747
170	7782	37728
171	7830	37697
172	7886	37700
173	7931	37653
174	7976	37603
175	8039	37640
176	8084	37589
177	8127	37534
178	8172	37483
179	8217	37434
180	8260	37379
181	8304	37326
182	8350	37278
183	8393	37224
184	8436	37165
185	8482	37120
186	8526	37071
187	8570	37018
188	8618	36979
189	8663	36931
190	8709	36889
191	8752	36834
